"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"82","/odin/kdi/dataset/2217410/archive/M2_C3_n3_S25_I2_001.fastq.gz","a41fc8a5457035ed10e62db33c9df2b3",638172527,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"83","/odin/kdi/dataset/2217410/archive/M2_C3_n3_S25_R1_001.fastq.gz","c3e6fa8ff29609db9d9fd7c2384a01af",5152264713,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"84","/odin/kdi/dataset/2217410/archive/M2_C3_n3_S25_R2_001.fastq.gz","35d678cb76516f3070dd22b362046d77",5321698315,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"85","/odin/kdi/dataset/2217411/archive/M2_C4_n1_S7_I1_001.fastq.gz","ec10151d830b22d7f6643b9d627aa9a9",517425045,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"86","/odin/kdi/dataset/2217411/archive/M2_C4_n1_S7_I2_001.fastq.gz","b5f9ff199c5c60e738e79a4041444507",512080460,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"87","/odin/kdi/dataset/2217411/archive/M2_C4_n1_S7_R1_001.fastq.gz","f0aa89d5f7c72e54bbec257a25d61898",3844105254,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"88","/odin/kdi/dataset/2217411/archive/M2_C4_n1_S7_R2_001.fastq.gz","9ad223a5c7c268fdf7d7a0d7a1ee227f",3842231136,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"89","/odin/kdi/dataset/2217412/archive/M2_Sora_n4_S40_I1_001.fastq.gz","b2d7732b4fcf087d475eb9fa2fc7f339",420610641,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"90","/odin/kdi/dataset/2217412/archive/M2_Sora_n4_S40_I2_001.fastq.gz","495049b10f9e1023ae7883d37ccad02a",434132692,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"91","/odin/kdi/dataset/2217412/archive/M2_Sora_n4_S40_R1_001.fastq.gz","3f6d0a3c8a5b02e04d9690e9f1af0409",3182571482,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"92","/odin/kdi/dataset/2217412/archive/M2_Sora_n4_S40_R2_001.fastq.gz","50177979f6f882eceea6dc854b18012a",3293981573,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
